trade_id,symbol,open_date_time,volume,side,open_price,initial_stop_loss,take_profit,close_date_time,swap,commission,profit,close_reason,candle_patterns
M963704386454761,EURUSD,2025-01-03T04:04:28,0.14,BUY,1.02706,1.02661,1.02808,2025-01-03T05:14:46.894,0.00,-0.35,-7.00,CLOSE_REASON_STOP_LOSS,"['CDL_BELTHOLD', 'CDL_DOJI_10_0.1', 'CDL_HANGINGMAN', 'CDL_HIGHWAVE', 'CDL_INSIDE', 'CDL_LONGLEGGEDDOJI', 'CDL_LONGLINE', 'CDL_SHORTLINE', 'CDL_SPINNINGTOP']"
M963704386454765,GBPJPY,2025-01-03T04:26:34,0.05,BUY,195.06,194.91,195.32,2025-01-03T04:59:19.503,0.00,-0.13,-5.03,CLOSE_REASON_STOP_LOSS,"['CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU', 'CDL_HAMMER', 'CDL_HIKKAKE', 'CDL_INSIDE', 'CDL_LONGLINE', 'CDL_MARUBOZU', 'CDL_SHORTLINE']"
M963704386454792,EURUSD,2025-01-03T05:22:10,0.11,SELL,1.02672,1.02722,1.02533,2025-01-03T05:30:17.155,0.00,-0.28,-6.17,CLOSE_REASON_STOP_LOSS,"['CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU', 'CDL_INSIDE', 'CDL_LONGLINE', 'CDL_MARUBOZU', 'CDL_SHORTLINE']"
M963704386454805,USDCAD,2025-01-03T05:43:38,0.08,SELL,1.4385,1.4392,1.4367,2025-01-03T05:53:16.64,0.00,-0.2,-3.29,CLOSE_REASON_STOP_LOSS,"['CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU']"
M963704386454830,BTCUSDC,2025-01-03T05:56:34,0.02,SELL,96701.9,96960.1,96091.4,2025-01-03T08:35:18.078,0.00,0.0,12.27,CLOSE_REASON_TAKE_PROFIT,"['CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU', 'CDL_ENGULFING', 'CDL_HIGHWAVE', 'CDL_INSIDE', 'CDL_LONGLINE', 'CDL_MARUBOZU', 'CDL_MATCHINGLOW', 'CDL_SHORTLINE', 'CDL_SPINNINGTOP']"
M963704386455447,BTCUSDC,2025-01-03T12:57:13,0.04,BUY,96681.6,96504.7,97025.4,2025-01-03T13:05:33.876,0.00,0.0,-7.66,CLOSE_REASON_STOP_LOSS,"['CDL_CLOSINGMARUBOZU', 'CDL_DOJI_10_0.1', 'CDL_DOJISTAR', 'CDL_DRAGONFLYDOJI', 'CDL_HIGHWAVE', 'CDL_LONGLEGGEDDOJI', 'CDL_LONGLINE', 'CDL_RICKSHAWMAN', 'CDL_SPINNINGTOP', 'CDL_TAKURI', 'CDL_TRISTAR']"
M963704386455456,BTCUSDC,2025-01-03T13:06:48,0.04,BUY,96693.5,96504.7,97115.2,2025-01-03T13:15:22.432,0.00,0.0,-7.67,CLOSE_REASON_STOP_LOSS,"['CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU', 'CDL_DOJI_10_0.1', 'CDL_ENGULFING', 'CDL_HIGHWAVE', 'CDL_LONGLEGGEDDOJI', 'CDL_LONGLINE', 'CDL_MARUBOZU', 'CDL_RICKSHAWMAN', 'CDL_SEPARATINGLINES', 'CDL_SPINNINGTOP']"
M963704386455500,NZDUSD,2025-01-03T13:30:46,0.12,BUY,0.56067,0.56013,0.56206,2025-01-03T15:01:49.424,0.00,-0.3,-3.00,CLOSE_REASON_STOP_LOSS,"['CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU', 'CDL_HAMMER', 'CDL_INSIDE', 'CDL_LONGLINE', 'CDL_MARUBOZU', 'CDL_SHORTLINE']"
M963704386456008,GBPJPY,2025-01-03T15:46:33,0.02,BUY,195.26,194.93,196.07,2025-01-03T17:02:43.925,0.00,-0.05,-2.77,CLOSE_REASON_STOP_LOSS,"['CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU', 'CDL_DOJI_10_0.1', 'CDL_HIGHWAVE', 'CDL_LONGLEGGEDDOJI', 'CDL_LONGLINE', 'CDL_MARUBOZU', 'CDL_RICKSHAWMAN', 'CDL_SHORTLINE', 'CDL_SPINNINGTOP']"
M963704386456011,BTCUSDC,2025-01-03T15:46:39,0.01,BUY,97552.2,96981.0,98974.2,2025-01-03T16:52:53.227,0.00,0.0,2.02,CLOSE_REASON_STOP_LOSS,"['CDL_3INSIDE', 'CDL_ADVANCEBLOCK', 'CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU', 'CDL_DOJI_10_0.1', 'CDL_HIGHWAVE', 'CDL_LONGLEGGEDDOJI', 'CDL_LONGLINE', 'CDL_RICKSHAWMAN', 'CDL_SPINNINGTOP', 'CDL_STALLEDPATTERN']"
